gid,sgg_nm_k,sido_nm_k,격자 내 토지이용(건물)의 밀도
다사63b49a,광진구,서울특별시,147.476504
다사55b54a,종로구,서울특별시,147.4494708
다사66b45a,송파구,서울특별시,147.4374976
다사48a57a,은평구,서울특별시,147.424352
다사61b54b,동대문구,서울특별시,147.2481668
다사42b44a,구로구,서울특별시,147.2297925
다사48a50b,마포구,서울특별시,147.208292
다사65b45b,송파구,서울특별시,147.151408
다사42a48b,강서구,서울특별시,147.1373516
다사67b46a,송파구,서울특별시,147.0823324
다사56b56a,성북구,서울특별시,147.0816881
다사48b39a,금천구,서울특별시,146.968112
다사63b48b,광진구,서울특별시,146.9182456
다사65b46b,송파구,서울특별시,146.8254798
다사64b56a,중랑구,서울특별시,146.7244739
다사41a49a,강서구,서울특별시,146.6504998
