법정동명,행정동코드,법정동코드,교통량
시흥동,1118061,11545103,8606
여의도동,1119054,11560110,19712
당산동1가,1119055,11560111,2637
당산동2가,1119055,11560112,2637
당산동3가,1119055,11560113,2637
당산동4가,1119056,11560114,5288
당산동5가,1119056,11560115,5288
당산동6가,1119056,11560116,5288
당산동,1119056,11560117,5288
양평동1가,1119061,11560125,5527
양평동2가,1119061,11560126,5527
양평동3가,1119061,11560127,5527
양평동3가,1119062,11560127,4465
양평동4가,1119062,11560128,4465
양평동5가,1119062,11560129,4465
양평동6가,1119062,11560130,4465
양화동,1119062,11560131,4465
양평동,1119062,11560134,4465
신길동,1119063,11560132,18120
신길동,1119065,11560132,7854
신길동,1119066,11560132,7277
신길동,1119067,11560132,3972
대림동,1119067,11560133,3972
신길동,1119068,11560132,11913
신길동,1119069,11560132,13325
대림동,1119070,11560133,9076
대림동,1119071,11560133,11654
대림동,1119072,11560133,10458
영등포동,1119073,11560101,3810
신길동,1119073,11560132,3810
영등포동,1119074,11560101,2222
영등포동1가,1119074,11560102,2222
영등포동2가,1119074,11560103,2222
영등포동3가,1119074,11560104,2222
영등포동4가,1119074,11560105,2222
영등포동5가,1119074,11560106,2222
영등포동6가,1119074,11560107,2222
영등포동7가,1119074,11560108,2222
영등포동8가,1119074,11560109,2222
도림동,1119075,11560118,9342
문래동1가,1119076,11560119,1732
문래동2가,1119076,11560120,1732
문래동3가,1119076,11560121,1732
문래동4가,1119076,11560122,1732
문래동5가,1119076,11560123,1732
문래동6가,1119076,11560124,1732
노량진동,1120052,11590101,17736
상도동,1120053,11590102,5960
상도1동,1120053,11590103,5960
상도동,1120054,11590102,5374
상도동,1120055,11590102,5867
상도동,1120056,11590102,7711
사당동,1120063,11590107,22279
사당동,1120065,11590107,7342
사당동,1120066,11590107,3893
사당동,1120067,11590107,3955
대방동,1120068,11590108,8160
신대방동,1120069,11590109,13425
신대방동,1120070,11590109,4720
흑석동,1120071,11590105,34272
노량진동,1120072,11590101,10605
본동,1120072,11590104,10605
동작동,1120073,11590106,13576
사당동,1120073,11590107,13576
봉천동,1121052,11620101,8981
봉천동,1121054,11620101,5748
봉천동,1121057,11620101,21173
