emd_code,ALL_AADT,,법정동,행정구역분류,법정기관코드,교통량
1114076,21155,,용산동5가,1103073,11170127,2323 
1114077,8315,,한강로3가,1103073,11170128,2323 
1114078,7982,,한남동,1103074,11170131,27782 
1115051,20765,,하왕십리동,1104052,11200102,4603 
1115052,11546,,마장동,1104054,11200105,17036 
1115053,12110,,사근동,1104055,11200106,6046 
1115054,10877,,행당동,1104055,11200107,6046 
1115057,10341,,행당동,1104056,11200107,10545 
1115058,13704,,행당동,1104057,11200107,2940 
1115059,25515,,응봉동,1104058,11200108,8808 
1115060,23696,,금호동1가,1104059,11200109,6269 
1115061,7582,,금호동4가,1104062,11200112,27039 
1115062,12848,,성수동1가,1104065,11200114,21977 
1115063,14410,,성수동1가,1104066,11200114,24466 
1115064,4509,,성수동2가,1104067,11200115,21687 
1115065,11611,,성수동2가,1104068,11200115,5484 
1115066,9836,,송정동,1104069,11200118,32899 
1115069,11413,,송정동,1104070,11200118,9350 
1115070,9360,,용답동,1104070,11200122,9350 
1115071,18225,,상왕십리동,1104071,11200101,1822 
1115072,17321,,하왕십리동,1104071,11200102,1822 
1116051,19041,,홍익동,1104071,11200103,1822 
1116052,14484,,도선동,1104071,11200104,1822 
1116053,8073,,금호동2가,1104072,11200110,4478 
1116054,6839,,금호동3가,1104072,11200111,4478 
1116055,11908,,옥수동,1104073,11200113,18202 
1116057,22086,,화양동,1105053,11215107,18077 
1116058,8647,,군자동,1105054,11215109,14404 
1116059,21089,,중곡동,1105055,11215101,19762 
1116061,8516,,중곡동,1105056,11215101,16685 
1116063,14196,,중곡동,1105057,11215101,25663 
1116064,10626,,중곡동,1105058,11215101,7969 
1116065,25073,,능동,1105059,11215102,14881 
1116066,7011,,구의동,1105060,11215103,8840 
1116067,9631,,구의동,1105061,11215103,15112 
1116069,10003,,구의동,1105062,11215103,15791 
1116070,5524,,광장동,1105063,11215104,10983 
1116071,18167,,자양동,1105064,11215105,7481 
1116072,9252,,자양동,1105065,11215105,24512 
1116073,11201,,자양동,1105066,11215105,8989 
1116074,6539,,자양동,1105067,11215105,26660 
1117051,11048,,회기동,1106071,11230108,9277 
